"","Var1","Freq"
"390","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",19
"391","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"392","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",37
"393","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"394","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"395","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",36
"396","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",23
"397","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"398","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"399","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"400","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",37
"401","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"402","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"403","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",37
"404","Fiscal, Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"405","Fiscal, Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",15
"406","Fiscal, Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",100
"407","Fiscal, Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",26
"408","Fiscal, Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"409","Fiscal, Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",40
"410","Fiscal, Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"411","Fiscal, Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",8
"412","Fiscal, Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",82
"413","Fiscal, Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",19
"414","Fiscal, Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"415","Fiscal, Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",38
"416","Fiscal, Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"417","Fiscal, Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",8
"418","Fiscal, Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",82
"419","Fiscal, Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",19
"420","Fiscal, Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"421","Fiscal, Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",40
"422","Fiscal, Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"423","Fiscal, Central Government, Assets and Liabilities, Liabilities, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"424","Fiscal, Central Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",40
"425","Fiscal, Central Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"426","Fiscal, Central Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"427","Fiscal, Central Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"428","Fiscal, Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"429","Fiscal, Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",40
"430","Fiscal, Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"431","Fiscal, Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"432","Fiscal, Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",38
"433","Fiscal, Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"434","Fiscal, Central Government, Assets and Liabilities, Net Financial Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"435","Fiscal, Central Government, Assets and Liabilities, Net Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",9
"436","Fiscal, Central Government, Assets and Liabilities, Non-financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",9
"437","Fiscal, Central Government, Assets and Liabilities, Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",45
"438","Fiscal, Central Government, Assets and Liabilities, Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",28
"439","Fiscal, Central Government, Assets and Liabilities, Non-financial Assets, Consumption of Fixed Capital, Classification of transactions in assets and liabilities, 2001 Manual, Domestic Currency",22
"440","Fiscal, Central Government, Assets and Liabilities, Non-financial Assets, Sales of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",43
"441","Fiscal, Central Government, Assets and Liabilities, Non-financial Assets, Sales of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",16
"442","Fiscal, Central Government, Cash receipts from operating activities, 2001 Manual, Cash, Domestic Currency",102
"443","Fiscal, Central Government, Cash surplus/deficit [CSD_CA], 2001 Manual, Cash, Domestic Currency",102
"444","Fiscal, Central Government, Expense, 2001 Manual, Cash, Domestic Currency",102
"445","Fiscal, Central Government, Expense, 2001 Manual, Domestic Currency",28
"446","Fiscal, Central Government, Expense, Compensation of Employees, 2001 Manual, Cash, Domestic Currency",45
"447","Fiscal, Central Government, Expense, Compensation of Employees, 2001 Manual, Domestic Currency",28
"448","Fiscal, Central Government, Expense, Consumption of Fixed Capital, 2001 Manual, Domestic Currency",22
"449","Fiscal, Central Government, Expense, Grants, 2001 Manual, Cash, Domestic Currency",43
"450","Fiscal, Central Government, Expense, Grants, 2001 Manual, Domestic Currency",28
"451","Fiscal, Central Government, Expense, Interest, 2001 Manual, Cash, Domestic Currency",45
"452","Fiscal, Central Government, Expense, Interest, 2001 Manual, Domestic Currency",28
"453","Fiscal, Central Government, Expense, Other, 2001 Manual, Cash, Domestic Currency",43
"454","Fiscal, Central Government, Expense, Other, 2001 Manual, Domestic Currency",28
"455","Fiscal, Central Government, Expense, Social Benefits, 2001 Manual, Cash, Domestic Currency",43
"456","Fiscal, Central Government, Expense, Social Benefits, 2001 Manual, Domestic Currency",28
"457","Fiscal, Central Government, Expense, Subsidies, 2001 Manual, Cash, Domestic Currency",40
"458","Fiscal, Central Government, Expense, Subsidies, 2001 Manual, Domestic Currency",28
"459","Fiscal, Central Government, Expense, Use of Goods and Services, 2001 Manual, Cash, Domestic Currency",45
"460","Fiscal, Central Government, Expense, Use of Goods and Services, 2001 Manual, Domestic Currency",28
"461","Fiscal, Central Government, Gross operating balance, 2001 Manual, Domestic Currency",25
"462","Fiscal, Central Government, Memo Item: Expenditure, 2001 Manual, Cash, Domestic Currency",45
"463","Fiscal, Central Government, Memo Item: Expenditure, 2001 Manual, Domestic Currency",28
"464","Fiscal, Central Government, Net acquisition of financial assets other than cash [32x_CA], Transactions, 2001 Manual, Cash, Domestic Currency",42
"465","Fiscal, Central Government, Net Acquisition of Financial Assets Other than Cash, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",23
"466","Fiscal, Central Government, Net acquisition of nonfinancial assets excluding cash: Domestic [321x_CA], Transactions, 2001 Manual, Cash, Domestic Currency",39
"467","Fiscal, Central Government, Net acquisition of nonfinancial assets excluding cash: Foreign [322x_CA], Transactions, 2001 Manual, Cash, Domestic Currency",39
"468","Fiscal, Central Government, Net cash inflow from financing activities [NFB_CA], 2001 Manual, Cash, Domestic Currency",42
"469","Fiscal, Central Government, Net cash inflow from operating activities [CIO_CA], 2001 Manual, Cash, Domestic Currency",102
"470","Fiscal, Central Government, Net change in stock of cash [NCB_CA], 2001 Manual, Cash, Domestic Currency",83
"471","Fiscal, Central Government, Net Lending/borrowing [NLB], 2001 Manual, Domestic Currency",28
"472","Fiscal, Central Government, Net lending/borrowing, Adjustment to Net lending/borrowing, 2001 Manual, Domestic Currency",21
"473","Fiscal, Central Government, Net operating balance, 2001 Manual, Domestic Currency",25
"474","Fiscal, Central Government, Primary Net Cash Inflow from Operating Activities, 2001 Manual, Cash, Domestic Currency",45
"475","Fiscal, Central Government, Primary operating balance, 2001 Manual, Domestic Currency",28
"476","Fiscal, Central Government, Revenue, 2001 Manual, Domestic Currency",28
"477","Fiscal, Central Government, Revenue, Grants, 2001 Manual, Cash, Domestic Currency",42
"478","Fiscal, Central Government, Revenue, Grants, 2001 Manual, Domestic Currency",27
"479","Fiscal, Central Government, Revenue, Other Revenue, 2001 Manual, Cash, Domestic Currency",45
"480","Fiscal, Central Government, Revenue, Other Revenue, 2001 Manual, Domestic Currency",28
"481","Fiscal, Central Government, Revenue, Social Contributions, 2001 Manual, Cash, Domestic Currency",42
"482","Fiscal, Central Government, Revenue, Social Contributions, 2001 Manual, Domestic Currency",27
"483","Fiscal, Central Government, Revenue, Tax, 2001 Manual, Cash, Domestic Currency",45
"484","Fiscal, Central Government, Revenue, Tax, 2001 Manual, Domestic Currency",28
"485","Fiscal, Central Government, Revenue, Tax, Goods and Services, 2001 Manual, Cash, Domestic Currency",30
"486","Fiscal, Central Government, Revenue, Tax, Goods and Services, 2001 Manual, Domestic Currency",20
"487","Fiscal, Central Government, Revenue, Tax, Income and Profits, 2001 Manual, Cash, Domestic Currency",30
"488","Fiscal, Central Government, Revenue, Tax, Income and Profits, 2001 Manual, Domestic Currency",20
"489","Fiscal, Central Government, Revenue, Tax, Other, 2001 Manual, Cash, Domestic Currency",30
"490","Fiscal, Central Government, Revenue, Tax, Other, 2001 Manual, Domestic Currency",20
"491","Fiscal, Central Government, Revenue, Tax, Payroll, 2001 Manual, Cash, Domestic Currency",30
"492","Fiscal, Central Government, Revenue, Tax, Payroll, 2001 Manual, Domestic Currency",20
"493","Fiscal, Central Government, Revenue, Tax, Property, 2001 Manual, Cash, Domestic Currency",30
"494","Fiscal, Central Government, Revenue, Tax, Property, 2001 Manual, Domestic Currency",20
"495","Fiscal, Central Government, Revenue, Tax, Trade, 2001 Manual, Cash, Domestic Currency",30
"496","Fiscal, Central Government, Revenue, Tax, Trade, 2001 Manual, Domestic Currency",20
"497","Fiscal, Central Government, Statistical discrepancy [30x-33+NCB-CSD] *, 2001 Manual, Cash, Domestic Currency",48
"498","Fiscal, Central Government,Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",15
"499","Fiscal, Central Government,Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",31
"500","Fiscal, Central Government,Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",20
"501","Fiscal, General Government,  Assets and Liabilities, Non-financial Assets, Purchases of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",46
"502","Fiscal, General Government,  Assets and Liabilities, Non-financial Assets, Purchases of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",17
"503","Fiscal, General Government, Assets and Liabilities, Debt (at Market Value), Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",63
"504","Fiscal, General Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",74
"505","Fiscal, General Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",73
"506","Fiscal, General Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",80
"507","Fiscal, General Government, Assets and Liabilities, Financial Assets, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",13
"508","Fiscal, General Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",24
"509","Fiscal, General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",73
"510","Fiscal, General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",36
"511","Fiscal, General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",80
"512","Fiscal, General Government, Assets and Liabilities, Financial Assets, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",12
"513","Fiscal, General Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",24
"514","Fiscal, General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",73
"515","Fiscal, General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",36
"516","Fiscal, General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",80
"517","Fiscal, General Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",73
"518","Fiscal, General Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",41
"519","Fiscal, General Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",80
"520","Fiscal, General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",49
"521","Fiscal, General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",41
"522","Fiscal, General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",58
"523","Fiscal, General Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",73
"524","Fiscal, General Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",80
"525","Fiscal, General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",73
"526","Fiscal, General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",39
"527","Fiscal, General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",80
"528","Fiscal, General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",73
"529","Fiscal, General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",38
"530","Fiscal, General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",80
"531","Fiscal, General Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",74
"532","Fiscal, General Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",50
"533","Fiscal, General Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",86
"534","Fiscal, General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",70
"535","Fiscal, General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",41
"536","Fiscal, General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",79
"537","Fiscal, General Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",11
"538","Fiscal, General Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",50
"539","Fiscal, General Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",25
"540","Fiscal, General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",70
"541","Fiscal, General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",41
"542","Fiscal, General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",79
"543","Fiscal, General Government, Assets and Liabilities, Liabilities, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",10
"544","Fiscal, General Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",50
"545","Fiscal, General Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",25
"546","Fiscal, General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",70
"547","Fiscal, General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",41
"548","Fiscal, General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",79
"549","Fiscal, General Government, Assets and Liabilities, Liabilities, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",74
"550","Fiscal, General Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",43
"551","Fiscal, General Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",83
"552","Fiscal, General Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",74
"553","Fiscal, General Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",83
"554","Fiscal, General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",74
"555","Fiscal, General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",43
"556","Fiscal, General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",83
"557","Fiscal, General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",64
"558","Fiscal, General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",41
"559","Fiscal, General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",73
"560","Fiscal, General Government, Assets and Liabilities, Net Financial Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",74
"561","Fiscal, General Government, Assets and Liabilities, Net Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",14
"562","Fiscal, General Government, Assets and Liabilities, Non-financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Domestic Currency",13
"563","Fiscal, General Government, Assets and Liabilities, Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",46
"564","Fiscal, General Government, Assets and Liabilities, Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",86
"565","Fiscal, General Government, Assets and Liabilities, Non-financial Assets, Consumption of Fixed Capital, Classification of transactions in assets and liabilities, 2001 Manual, Domestic Currency",89
"566","Fiscal, General Government, Assets and Liabilities, Non-financial Assets, Sales of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Cash, Domestic Currency",44
"567","Fiscal, General Government, Assets and Liabilities, Non-financial Assets, Sales of Non-financial Assets, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",17
"568","Fiscal, General Government, Cash receipts from operating activities, 2001 Manual, Cash, Domestic Currency",50
"569","Fiscal, General Government, Cash surplus/deficit [CSD_CA], 2001 Manual, Cash, Domestic Currency",47
"570","Fiscal, General Government, Expense, 2001 Manual, Cash, Domestic Currency",50
"571","Fiscal, General Government, Expense, 2001 Manual, Domestic Currency",89
"572","Fiscal, General Government, Expense, Compensation of Employees, 2001 Manual, Cash, Domestic Currency",49
"573","Fiscal, General Government, Expense, Compensation of Employees, 2001 Manual, Domestic Currency",89
"574","Fiscal, General Government, Expense, Consumption of Fixed Capital, 2001 Manual, Domestic Currency",89
"575","Fiscal, General Government, Expense, Grants, 2001 Manual, Cash, Domestic Currency",49
"576","Fiscal, General Government, Expense, Grants, 2001 Manual, Domestic Currency",35
"577","Fiscal, General Government, Expense, Interest, 2001 Manual, Cash, Domestic Currency",49
"578","Fiscal, General Government, Expense, Interest, 2001 Manual, Domestic Currency",89
"579","Fiscal, General Government, Expense, Other, 2001 Manual, Cash, Domestic Currency",49
"580","Fiscal, General Government, Expense, Other, 2001 Manual, Domestic Currency",35
"581","Fiscal, General Government, Expense, Social Benefits, 2001 Manual, Cash, Domestic Currency",49
"582","Fiscal, General Government, Expense, Social Benefits, 2001 Manual, Domestic Currency",89
"583","Fiscal, General Government, Expense, Subsidies, 2001 Manual, Cash, Domestic Currency",49
"584","Fiscal, General Government, Expense, Subsidies, 2001 Manual, Domestic Currency",89
"585","Fiscal, General Government, Expense, Use of Goods and Services, 2001 Manual, Cash, Domestic Currency",49
"586","Fiscal, General Government, Expense, Use of Goods and Services, 2001 Manual, Domestic Currency",89
"587","Fiscal, General Government, Gross operating balance, 2001 Manual, Domestic Currency",89
"588","Fiscal, General Government, Memo Item: Expenditure, 2001 Manual, Cash, Domestic Currency",46
"589","Fiscal, General Government, Memo Item: Expenditure, 2001 Manual, Domestic Currency",86
"590","Fiscal, General Government, Net acquisition of financial assets other than cash [32x_CA], Transactions, 2001 Manual, Cash, Domestic Currency",46
"591","Fiscal, General Government, Net Acquisition of Financial Assets Other than Cash, Classification of transactions in assets and liabilities, Transactions, 2001 Manual, Domestic Currency",80
"592","Fiscal, General Government, Net acquisition of nonfinancial assets excluding cash: Domestic [321x_CA], Transactions, 2001 Manual, Cash, Domestic Currency",45
"593","Fiscal, General Government, Net acquisition of nonfinancial assets excluding cash: Foreign [322x_CA], Transactions, 2001 Manual, Cash, Domestic Currency",45
"594","Fiscal, General Government, Net cash inflow from financing activities [NFB_CA], 2001 Manual, Cash, Domestic Currency",46
"595","Fiscal, General Government, Net cash inflow from operating activities [CIO_CA], 2001 Manual, Cash, Domestic Currency",50
"596","Fiscal, General Government, Net change in stock of cash [NCB_CA], 2001 Manual, Cash, Domestic Currency",46
"597","Fiscal, General Government, Net Lending/borrowing [NLB], 2001 Manual, Domestic Currency",86
"598","Fiscal, General Government, Net lending/borrowing, Adjustment to Net lending/borrowing, 2001 Manual, Domestic Currency",79
"599","Fiscal, General Government, Net operating balance, 2001 Manual, Domestic Currency",89
"600","Fiscal, General Government, Primary Net Cash Inflow from Operating Activities, 2001 Manual, Cash, Domestic Currency",49
"601","Fiscal, General Government, Primary operating balance, 2001 Manual, Domestic Currency",89
"602","Fiscal, General Government, Revenue, 2001 Manual, Domestic Currency",89
"603","Fiscal, General Government, Revenue, Grants, 2001 Manual, Cash, Domestic Currency",49
"604","Fiscal, General Government, Revenue, Grants, 2001 Manual, Domestic Currency",35
"605","Fiscal, General Government, Revenue, Other Revenue, 2001 Manual, Cash, Domestic Currency",49
"606","Fiscal, General Government, Revenue, Other Revenue, 2001 Manual, Domestic Currency",35
"607","Fiscal, General Government, Revenue, Social Contributions, 2001 Manual, Cash, Domestic Currency",49
"608","Fiscal, General Government, Revenue, Social Contributions, 2001 Manual, Domestic Currency",89
