,Country,Year,C_M2,C_cpi,IV_fdi_outflow,IV_lending,C_gdp,IV_trade_balance,C_REER,DV_VA,DV_nfc_ls,DV_hh_ls,IV_gov_exp,IV_gini,DV_VAplus,DV_nfc_lsplus,DV_hh_lsplus,IVlag1_DV_VAplus,IVlag1_DV_nfc_lsplus,IVlag1_DV_hh_lsplus,IV_lendingplus,IV_gov_expplus,IV_trade_balanceplus,IV_fdi_outflowplus,IV_lendingplus_lag1,IV_gov_expplus_lag1,IV_trade_balanceplus_lag1,IV_fdi_outflowplus_lag1,IV_lendingplus_lag2,IV_gov_expplus_lag2,IV_trade_balanceplus_lag2,IV_fdi_outflowplus_lag2,C_REERplus,C_cpiplus,C_gdpplus,C_m2plus
16925,United States,1817,,,,,,,,,,,2.57898,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2799403621824761,0.0,0.0,0.0,-0.11083692478798834,0.0,0.0,0.0,-0.18675084341630543,0.0,0.0,0.0,0.0,0.0,0.0
16926,United States,1818,,,,,,,,,,,2.42953,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057949266764379614,0.0,0.0,0.0,-0.2799403621824761,0.0,0.0,0.0,-0.11083692478798834,0.0,0.0,0.0,0.0,0.0,0.0
16927,United States,1819,,,,,,,,,,,2.84668,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17169987610772441,0.0,0.0,0.0,-0.057949266764379614,0.0,0.0,0.0,-0.2799403621824761,0.0,0.0,0.0,0.0,0.0,0.0
16928,United States,1820,,,,,,,,,,,2.78369,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022127531018590108,0.0,0.0,0.0,0.17169987610772441,0.0,0.0,0.0,-0.057949266764379614,0.0,0.0,0.0,0.0,0.0,0.0
16929,United States,1821,,,,,,,,,,,2.60478,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06427080601647461,0.0,0.0,0.0,-0.022127531018590108,0.0,0.0,0.0,0.17169987610772441,0.0,0.0,0.0,0.0,0.0,0.0
16930,United States,1822,,,,,,,,,,,2.13068,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18201153264383174,0.0,0.0,0.0,-0.06427080601647461,0.0,0.0,0.0,-0.022127531018590108,0.0,0.0,0.0,0.0,0.0,0.0
16931,United States,1823,,,,,,,,,,,2.10401,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012517130681284683,0.0,0.0,0.0,-0.18201153264383174,0.0,0.0,0.0,-0.06427080601647461,0.0,0.0,0.0,0.0,0.0,0.0
16932,United States,1824,,,,,,,,,,,2.70666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2864292470092822,0.0,0.0,0.0,-0.012517130681284683,0.0,0.0,0.0,-0.18201153264383174,0.0,0.0,0.0,0.0,0.0,0.0
16933,United States,1825,,,,,,,,,,,1.86553,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3107630806972431,0.0,0.0,0.0,0.2864292470092822,0.0,0.0,0.0,-0.012517130681284683,0.0,0.0,0.0,0.0,0.0,0.0
16934,United States,1826,,,,,,,,,,,1.92715,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03303082770043897,0.0,0.0,0.0,-0.3107630806972431,0.0,0.0,0.0,0.2864292470092822,0.0,0.0,0.0,0.0,0.0,0.0
16935,United States,1827,,,,,,,,,,,1.85933,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03519186363282567,0.0,0.0,0.0,0.03303082770043897,0.0,0.0,0.0,-0.3107630806972431,0.0,0.0,0.0,0.0,0.0,0.0
16936,United States,1828,,,,,,,,,,,1.86095,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008712815906806171,0.0,0.0,0.0,-0.03519186363282567,0.0,0.0,0.0,0.03303082770043897,0.0,0.0,0.0,0.0,0.0,0.0
16937,United States,1829,,,,,,,,,,,1.67989,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09729439264891582,0.0,0.0,0.0,0.0008712815906806171,0.0,0.0,0.0,-0.03519186363282567,0.0,0.0,0.0,0.0,0.0,0.0
16938,United States,1830,,,,,,,,,,,1.62304,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0338415015268857,0.0,0.0,0.0,-0.09729439264891582,0.0,0.0,0.0,0.0008712815906806171,0.0,0.0,0.0,0.0,0.0,0.0
16939,United States,1831,,,,,,,,,,,1.42106,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1244454850157729,0.0,0.0,0.0,-0.0338415015268857,0.0,0.0,0.0,-0.09729439264891582,0.0,0.0,0.0,0.0,0.0,0.0
16940,United States,1832,,,,,,,,,,,1.49688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05335453816165403,0.0,0.0,0.0,-0.1244454850157729,0.0,0.0,0.0,-0.0338415015268857,0.0,0.0,0.0,0.0,0.0,0.0
16941,United States,1833,,,,,,,,,,,1.77334,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18469082357971245,0.0,0.0,0.0,0.05335453816165403,0.0,0.0,0.0,-0.1244454850157729,0.0,0.0,0.0,0.0,0.0,0.0
16942,United States,1834,,,,,,,,,,,1.39745,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2119672482434276,0.0,0.0,0.0,0.18469082357971245,0.0,0.0,0.0,0.05335453816165403,0.0,0.0,0.0,0.0,0.0,0.0
16943,United States,1835,,,,,,,,,,,1.07612,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22994024830942084,0.0,0.0,0.0,-0.2119672482434276,0.0,0.0,0.0,0.18469082357971245,0.0,0.0,0.0,0.0,0.0,0.0
16944,United States,1836,,,,,,,,,,,1.62806,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5128981897929601,0.0,0.0,0.0,-0.22994024830942084,0.0,0.0,0.0,-0.2119672482434276,0.0,0.0,0.0,0.0,0.0,0.0
16945,United States,1837,,,,,,,,,,,2.03514,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500399248184957,0.0,0.0,0.0,0.5128981897929601,0.0,0.0,0.0,-0.22994024830942084,0.0,0.0,0.0,0.0,0.0,0.0
16946,United States,1838,,,,,,,,,,,1.92634,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053460695578682604,0.0,0.0,0.0,0.2500399248184957,0.0,0.0,0.0,0.5128981897929601,0.0,0.0,0.0,0.0,0.0,0.0
16947,United States,1839,,,,,,,,,,,1.39229,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2772355866565611,0.0,0.0,0.0,-0.053460695578682604,0.0,0.0,0.0,0.2500399248184957,0.0,0.0,0.0,0.0,0.0,0.0
16948,United States,1840,,,,,,,,,,,1.40567,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009610066868253053,0.0,0.0,0.0,-0.2772355866565611,0.0,0.0,0.0,-0.053460695578682604,0.0,0.0,0.0,0.0,0.0,0.0
16949,United States,1841,,,,,,,,,,,1.52328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08366828629763745,0.0,0.0,0.0,0.009610066868253053,0.0,0.0,0.0,-0.2772355866565611,0.0,0.0,0.0,0.0,0.0,0.0
16950,United States,1842,,,,,,,,,,,1.50934,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009151305078514804,0.0,0.0,0.0,0.08366828629763745,0.0,0.0,0.0,0.009610066868253053,0.0,0.0,0.0,0.0,0.0,0.0
16951,United States,1843,,,,,,,,,,,0.724817,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5197788437330223,0.0,0.0,0.0,-0.009151305078514804,0.0,0.0,0.0,0.08366828629763745,0.0,0.0,0.0,0.0,0.0,0.0
16952,United States,1844,,,,,,,,,,,1.23142,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989391805103908,0.0,0.0,0.0,-0.5197788437330223,0.0,0.0,0.0,-0.009151305078514804,0.0,0.0,0.0,0.0,0.0,0.0
16953,United States,1845,,,,,,,,,,,1.17265,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04772539019993183,0.0,0.0,0.0,0.6989391805103908,0.0,0.0,0.0,-0.5197788437330223,0.0,0.0,0.0,0.0,0.0,0.0
16954,United States,1846,,,,,,,,,,,1.3466,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1483392316547989,0.0,0.0,0.0,-0.04772539019993183,0.0,0.0,0.0,0.6989391805103908,0.0,0.0,0.0,0.0,0.0,0.0
16955,United States,1847,,,,,,,,,,,2.45315,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8217362245655724,0.0,0.0,0.0,0.1483392316547989,0.0,0.0,0.0,-0.04772539019993183,0.0,0.0,0.0,0.0,0.0,0.0
16956,United States,1848,,,,,,,,,,,1.91222,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22050424963822024,0.0,0.0,0.0,0.8217362245655724,0.0,0.0,0.0,0.1483392316547989,0.0,0.0,0.0,0.0,0.0,0.0
16957,United States,1849,,,,,,,,,,,1.92201,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005119703799771891,0.0,0.0,0.0,-0.22050424963822024,0.0,0.0,0.0,0.8217362245655724,0.0,0.0,0.0,0.0,0.0,0.0
